system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GMW_mangrove,NDMI,NDVI,NDWI,WorldCover,fold,label,latitude,longitude,n_scenes,region,.geo
0_1_64,0.0819,0.0406,0.0381,0.0638,0.0383,0.0974,0.2133,0.2352,0.2441,0.2522,0.43302613306400706,1,0.49754601226993866,0.7287535410764874,-0.5855797336797662,95,Sundarbans,1,21.886750241996847,88.78004120144888,23,Sundarbans,"{""type"":""Point"",""coordinates"":[88.78004120144888,21.886750241996847]}"
0_1_73,0.08785,0.04055,0.016,0.046025,0.02441666666666667,0.09416666666666666,0.2339,0.2685,0.2839333333333333,0.291225,0.49509704169104357,1,0.5274129197113014,0.8416301821523159,-0.7210253819926759,95,Sundarbans,1,21.666295882429626,89.02692171470706,138,Sundarbans,"{""type"":""Point"",""coordinates"":[89.02692171470706,21.666295882429626]}"
0_1_74,0.0847,0.04535,0.04085,0.06395,0.0426,0.0981,0.1935,0.2187,0.22305,0.2306,0.38482864515578685,1,0.44955320877335503,0.6792772444946358,-0.5543554006968641,95,Sundarbans,1,21.838601548050633,88.80011200548694,26,Sundarbans,"{""type"":""Point"",""coordinates"":[88.80011200548694,21.838601548050633]}"
0_1_76,0.1021,0.05,0.0306,0.0576,0.0352,0.0983,0.2138,0.2402,0.242,0.2588,0.42248917218272447,1,0.40656785818076147,0.7460317460317459,-0.6154873164218959,95,Sundarbans,1,21.836034876055397,88.93047323636077,31,Sundarbans,"{""type"":""Point"",""coordinates"":[88.93047323636077,21.836034876055397]}"
0_1_82,0.095,0.0387,0.0226,0.0511,0.0311,0.0873,0.2441,0.2893,0.3125,0.3152,0.5291064981949458,1,0.5337423312883436,0.818975552968568,-0.718921892189219,95,Sundarbans,1,21.74526242878466,89.24450418149829,25,Sundarbans,"{""type"":""Point"",""coordinates"":[89.24450418149829,21.74526242878466]}"
0_1_98,0.1015,0.0456,0.0254,0.0598,0.0395,0.1076,0.2427,0.2794,0.2977,0.3065,0.4802112780836187,1,0.49148296593186375,0.7657176749703442,-0.6654545454545454,95,Sundarbans,1,21.92102547456184,89.32130556152464,15,Sundarbans,"{""type"":""Point"",""coordinates"":[89.32130556152464,21.92102547456184]}"
0_1_102,0.0991,0.0456,0.0439,0.0654,0.0437,0.0949,0.2092,0.2417,0.2397,0.2586,0.4178569905768985,1,0.41499409681227867,0.6916019760056458,-0.5712881022615537,95,Sundarbans,1,21.770128345755143,89.11221097320576,39,Sundarbans,"{""type"":""Point"",""coordinates"":[89.11221097320576,21.770128345755143]}"
0_1_109,0.0949,0.0496,0.0419,0.0638,0.0429,0.1057,0.2113,0.2344,0.2438,0.253,0.4231433506044905,1,0.43962208444050777,0.7007324729682595,-0.5851755526657998,95,Sundarbans,1,21.892558046670338,89.09459764700483,41,Sundarbans,"{""type"":""Point"",""coordinates"":[89.09459764700483,21.892558046670338]}"
0_1_111,0.0793,0.0358,0.0334,0.0546,0.0301,0.087,0.2165,0.251,0.2575,0.2685,0.4786965308184574,1,0.5290973871733967,0.7906815020862309,-0.650112143543736,95,Sundarbans,1,21.79097383801803,88.71973904520198,25,Sundarbans,"{""type"":""Point"",""coordinates"":[88.71973904520198,21.79097383801803]}"
0_1_113,0.1095,0.0502,0.0334,0.0569,0.038,0.0891,0.2103,0.248,0.2612,0.2738,0.45047226931460405,1,0.40922578904774753,0.7459893048128342,-0.6422508645080163,95,Sundarbans,1,22.04571090837519,88.91981407678021,27,Sundarbans,"{""type"":""Point"",""coordinates"":[88.91981407678021,22.04571090837519]}"
0_1_114,0.10935,0.0501,0.03525,0.0552,0.03955,0.08365,0.188,0.2203,0.22915,0.24095,0.3943181581848054,1,0.35391432791728206,0.705619650167473,-0.6117460875681379,95,Sundarbans,1,21.69434579109848,88.91971249829355,32,Sundarbans,"{""type"":""Point"",""coordinates"":[88.91971249829355,21.69434579109848]}"
0_1_117,0.1056,0.05215,0.0372,0.05865,0.0415,0.0963,0.20345,0.23105,0.24465,0.25555,0.41812456263121067,1,0.3970021413276231,0.7099423379346496,-0.6132542037586548,95,Sundarbans,1,21.75039143819443,89.09685811638913,34,Sundarbans,"{""type"":""Point"",""coordinates"":[89.09685811638913,21.75039143819443]}"
0_1_118,0.0659,0.0336,0.0262,0.051,0.0394,0.0861,0.1858,0.2089,0.214,0.2251,0.34811388467979903,1,0.5291175419792784,0.6890292028413575,-0.6150943396226415,95,Sundarbans,1,21.653643529952056,88.82409429750064,47,Sundarbans,"{""type"":""Point"",""coordinates"":[88.82409429750064,21.653643529952056]}"
0_1_119,0.0849,0.0373,0.0276,0.0538,0.0334,0.0921,0.2289,0.2704,0.2786,0.296,0.4819182389937107,1,0.5328748280605227,0.785897435897436,-0.6762936221419975,95,Sundarbans,1,21.972962525923712,88.83973092649295,23,Sundarbans,"{""type"":""Point"",""coordinates"":[88.83973092649295,21.972962525923712]}"
0_1_131,0.0834,0.0349,0.03395,0.0542,0.03105,0.09663333333333333,0.25025,0.28765,0.302,0.3118,0.5490708655034753,1,0.5672029060716139,0.8135415102837411,-0.6956765861875351,95,Sundarbans,1,21.980244265198976,88.948690136766,79,Sundarbans,"{""type"":""Point"",""coordinates"":[88.948690136766,21.980244265198976]}"
0_1_137,0.1157,0.0539,0.0413,0.0582,0.0401,0.0877,0.2045,0.235,0.252,0.2587,0.4478589846557045,1,0.37068262170247485,0.7254364943512496,-0.6247582205029013,95,Sundarbans,1,22.230371705440906,89.20018410351003,35,Sundarbans,"{""type"":""Point"",""coordinates"":[89.20018410351003,22.230371705440906]}"
0_1_144,0.1216,0.054,0.0166,0.043,0.0248,0.0792,0.2304,0.2815,0.2909,0.3102,0.5058166058394161,1,0.41042424242424247,0.8428888184985747,-0.7424378556454029,95,Sundarbans,1,21.70425239343231,89.2518695334229,11,Sundarbans,"{""type"":""Point"",""coordinates"":[89.2518695334229,21.70425239343231]}"
0_1_146,0.0856,0.0506,0.0441,0.0566,0.042,0.091,0.1737,0.198,0.2044,0.2204,0.3606804957135876,1,0.4096551724137931,0.6590909090909091,-0.5662835249042145,95,Sundarbans,1,21.833079098509746,89.32364246033268,11,Sundarbans,"{""type"":""Point"",""coordinates"":[89.32364246033268,21.833079098509746]}"
0_1_164,0.0937,0.03675,0.0347,0.05285,0.0314,0.08985,0.2505,0.29195,0.30815,0.31915,0.5596335840815336,1,0.5336568371282816,0.8150493299955824,-0.7072022160664819,95,Sundarbans,1,22.213714688146666,89.22855853762405,32,Sundarbans,"{""type"":""Point"",""coordinates"":[89.22855853762405,22.213714688146666]}"
0_1_173,0.1346,0.0789,0.0535,0.0713,0.0557,0.1088,0.2047,0.2415,0.2456,0.2593,0.4028255059182895,1,0.29195160441872703,0.6302688350481248,-0.5500157778479016,10,Sundarbans,1,22.030361693914003,88.68542087236675,21,Sundarbans,"{""type"":""Point"",""coordinates"":[88.68542087236675,22.030361693914003]}"
0_1_180,0.11945,0.05305,0.02945,0.05825,0.0339,0.0912,0.23235,0.27095,0.2802,0.29495,0.4876358668752104,1,0.4022269485800075,0.78414517669532,-0.655783719899542,95,Sundarbans,1,21.984179042074494,88.77465890233091,22,Sundarbans,"{""type"":""Point"",""coordinates"":[88.77465890233091,21.984179042074494]}"
0_1_181,0.0893,0.039,0.0292,0.05555,0.0324,0.09805,0.2429,0.28045,0.29455,0.29995,0.5160636245521476,1,0.5347140810212323,0.8018045572717541,-0.6826620965438447,95,Sundarbans,1,22.028035407065246,89.24004538227189,38,Sundarbans,"{""type"":""Point"",""coordinates"":[89.24004538227189,22.028035407065246]}"
0_1_188,0.1032,0.0684,0.05685,0.07675,0.0693,0.0973,0.14915,0.16375,0.16045,0.1738,0.19817371453418853,1,0.21714394083064673,0.3967355821545158,-0.3528667790893761,95,Sundarbans,1,21.656398370265446,88.91827317842471,46,Sundarbans,"{""type"":""Point"",""coordinates"":[88.91827317842471,21.656398370265446]}"
0_1_189,0.0697,0.033,0.0489,0.0674,0.047,0.0891,0.1779,0.2051,0.2021,0.2133,0.34702644650288633,1,0.4871228844738779,0.6226415094339623,-0.49981447124304257,95,Sundarbans,1,21.804434308935924,88.81846910171826,23,Sundarbans,"{""type"":""Point"",""coordinates"":[88.81846910171826,21.804434308935924]}"
0_1_194,0.0795,0.041,0.0541,0.0734,0.0561,0.0964,0.1697,0.1899,0.1817,0.1972,0.28223450631432295,1,0.39127105666156203,0.528174936921783,-0.4245393963151705,95,Sundarbans,1,22.085471292988046,88.85124945316083,23,Sundarbans,"{""type"":""Point"",""coordinates"":[88.85124945316083,22.085471292988046]}"
0_1_196,0.0893,0.0365,0.031,0.0586,0.0331,0.0949,0.2389,0.2788,0.2929,0.303,0.5158856235107228,1,0.532705389848247,0.7969325153374232,-0.6665718349928876,95,Sundarbans,1,21.871200558213808,88.91640845409941,31,Sundarbans,"{""type"":""Point"",""coordinates"":[88.91640845409941,21.871200558213808]}"
0_1_211,0.1116,0.0475,0.0421,0.069,0.0435,0.1029,0.2205,0.2553,0.2692,0.2833,0.4646136110996748,1,0.4138655462184873,0.7217780620402943,-0.5919574216439976,60,Sundarbans,1,21.84279693437823,88.52221651783421,25,Sundarbans,"{""type"":""Point"",""coordinates"":[88.52221651783421,21.84279693437823]}"
0_1_217,0.09528333333333333,0.0465,0.03965,0.0622,0.04173333333333333,0.0983,0.20985,0.23886,0.2497,0.2599,0.4322822479508339,1,0.4476061645490121,0.7135994509893631,-0.6011542160949022,95,Sundarbans,1,21.976317980656347,88.97041900357075,76,Sundarbans,"{""type"":""Point"",""coordinates"":[88.97041900357075,21.976317980656347]}"
0_1_218,0.0854,0.0353,0.0205,0.0412,0.0218,0.0817,0.224,0.262,0.274,0.2868,0.5039766596059311,1,0.5247634947134112,0.8526031102096012,-0.7385786802030456,95,Sundarbans,1,21.723634809995797,88.78817929007182,19,Sundarbans,"{""type"":""Point"",""coordinates"":[88.78817929007182,21.723634809995797]}"
0_1_222,0.0884,0.0415,0.0376,0.0606,0.0375,0.094,0.2192,0.2509,0.26105,0.2703,0.4641626178314854,1,0.4940620975819144,0.7487857980237816,-0.6231929115498213,95,Sundarbans,1,21.976332372574646,88.78515294664098,24,Sundarbans,"{""type"":""Point"",""coordinates"":[88.78515294664098,21.976332372574646]}"
0_1_224,0.1002,0.0492,0.0444,0.0626,0.0437,0.0979,0.1911,0.2185,0.2304,0.2407,0.4025094860296654,1,0.39382940108892917,0.6811382707041225,-0.5726962457337884,95,Sundarbans,1,21.86293737789967,88.63544014244636,25,Sundarbans,"{""type"":""Point"",""coordinates"":[88.63544014244636,21.86293737789967]}"
0_1_236,0.10765,0.0486,0.0188,0.0425,0.0226,0.08145,0.2327,0.27495,0.28045,0.30555,0.5055684090819967,1,0.4452460706003607,0.8508496947698398,-0.7368013624400062,95,Sundarbans,1,21.718788785221264,89.274559554314,12,Sundarbans,"{""type"":""Point"",""coordinates"":[89.274559554314,21.718788785221264]}"
0_1_238,0.1018,0.0511,0.04195,0.06365,0.0433,0.09775,0.20605,0.22875,0.24155,0.24655,0.4176409867492469,1,0.40701907674384735,0.6959803405301035,-0.5828964613368284,95,Sundarbans,1,22.056325278689798,89.31538909595454,40,Sundarbans,"{""type"":""Point"",""coordinates"":[89.31538909595454,22.056325278689798]}"
0_1_239,0.0925,0.0395,0.0417,0.0551,0.0345,0.0835,0.2251,0.2665,0.279,0.2903,0.5209887065842745,1,0.5020188425302826,0.7799043062200958,-0.67015863513918,95,Sundarbans,1,22.40042346301187,89.39940110218313,39,Sundarbans,"{""type"":""Point"",""coordinates"":[89.39940110218313,22.40042346301187]}"
0_1_243,0.1099,0.0449,0.0454,0.0716,0.0459,0.1059,0.2443,0.2789,0.2911,0.3012,0.5000000000000001,1,0.4518703241895262,0.7275964391691395,-0.605183347118831,95,Sundarbans,1,21.714848467816974,88.290936692585,21,Sundarbans,"{""type"":""Point"",""coordinates"":[88.290936692585,21.714848467816974]}"
0_1_244,0.1012,0.0418,0.0374,0.0578,0.036,0.0831,0.213,0.2494,0.2488,0.2729,0.4492105040952461,1,0.42171428571428576,0.747191011235955,-0.6229615133724723,95,Sundarbans,1,22.32253027086427,89.36820144823993,39,Sundarbans,"{""type"":""Point"",""coordinates"":[89.36820144823993,22.32253027086427]}"
0_1_254,0.0942,0.0557,0.0341,0.0607,0.0439,0.1016,0.1981,0.2263,0.2437,0.2398,0.39916889759060215,1,0.44243859129920093,0.6947148817802503,-0.6011826544021025,95,Sundarbans,1,21.626354141510376,88.58828530417702,39,Sundarbans,"{""type"":""Point"",""coordinates"":[88.58828530417702,21.626354141510376]}"
0_1_264,0.0874,0.0377,0.0246,0.0543,0.0324,0.0907,0.2318,0.2715,0.2844,0.2939,0.48674959437533805,1,0.5298547606239913,0.7954545454545455,-0.6793622674933568,95,Sundarbans,1,21.62237198714197,88.73237107989412,39,Sundarbans,"{""type"":""Point"",""coordinates"":[88.73237107989412,21.62237198714197]}"
0_1_267,0.10845,0.0506,0.0166,0.05105,0.03275,0.08845,0.2243,0.26845,0.2812,0.2876,0.4590045817321904,1,0.4433465930963686,0.7913680522376174,-0.6927012791572612,95,Sundarbans,1,21.930450428355005,89.38193875742543,14,Sundarbans,"{""type"":""Point"",""coordinates"":[89.38193875742543,21.930450428355005]}"
0_1_273,0.0834,0.0343,0.021,0.0469,0.0271,0.0903,0.221,0.2606,0.2693,0.2819,0.4751255492780916,1,0.5270768358378224,0.8171390013495275,-0.7033523086654017,95,Sundarbans,1,21.76604974258496,88.82806875348554,19,Sundarbans,"{""type"":""Point"",""coordinates"":[88.82806875348554,21.76604974258496]}"
0_1_278,0.0821,0.0418,0.0259,0.0514,0.0357,0.0904,0.2006,0.2285,0.2314,0.2493,0.39097774403644064,1,0.47623604465709723,0.7326843878697117,-0.6364922206506365,95,Sundarbans,1,21.614721969597277,88.52084421717943,45,Sundarbans,"{""type"":""Point"",""coordinates"":[88.52084421717943,21.614721969597277]}"
0_1_279,0.0933,0.0424,0.0282,0.0559,0.0323,0.0959,0.2357,0.27,0.2884,0.2939,0.5038561422837805,1,0.5111343987424679,0.7985656376676021,-0.6752831832704037,95,Sundarbans,1,22.045196420727915,89.27854686961824,37,Sundarbans,"{""type"":""Point"",""coordinates"":[89.27854686961824,22.045196420727915]}"
0_1_295,0.1304,0.0668,0.0264,0.0575,0.044,0.0991,0.1986,0.2336,0.24,0.2572,0.37519142419601836,1,0.2958963282937365,0.6901408450704226,-0.6134453781512605,95,Sundarbans,1,21.97445901022181,89.3757686533813,13,Sundarbans,"{""type"":""Point"",""coordinates"":[89.3757686533813,21.97445901022181]}"
0_1_305,0.08345,0.03905,0.0342,0.06435,0.037,0.09915,0.2141,0.2409,0.2566,0.25955,0.44922674085590375,1,0.5091898250257315,0.7479564032697548,-0.5990029599626109,95,Sundarbans,1,21.733830433714516,88.71292848141849,22,Sundarbans,"{""type"":""Point"",""coordinates"":[88.71292848141849,21.733830433714516]}"
0_1_309,0.092,0.0463,0.0351,0.0607,0.04015,0.0978,0.2108,0.2389,0.25325,0.26075,0.43281338857746354,1,0.4670528602461984,0.7263122017723245,-0.6133142220098742,95,Sundarbans,1,21.81712265019091,89.16226305138053,36,Sundarbans,"{""type"":""Point"",""coordinates"":[89.16226305138053,21.81712265019091]}"
