system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GMW_mangrove,NDMI,NDVI,NDWI,WorldCover,fold,label,latitude,longitude,n_scenes,region,.geo
0_1_396,0.1116,0.0513,0.0378,0.0555,0.0373,0.0902,0.2106,0.2427,0.2521,0.2668,0.45035223079503517,1,0.38630739620566396,0.7422252937111264,-0.6391417425227568,95,Sundarbans,1,22.174198748587692,89.20363266073657,35,Sundarbans,"{""type"":""Point"",""coordinates"":[89.20363266073657,22.174198748587692]}"
0_1_397,0.0258,0.01695,0.1073,0.12445,0.12025,0.12375,0.0823,0.0835,0.06955,0.06395,-0.12851059515360438,1,0.45883586785527003,-0.26712328767123283,0.2829896907216495,95,Sundarbans,1,21.572001319355895,88.83903485641208,54,Sundarbans,"{""type"":""Point"",""coordinates"":[88.83903485641208,21.572001319355895]}"
0_1_403,0.08895,0.04415,0.0449,0.06255,0.0443,0.09415,0.1786,0.20735,0.2079,0.22095,0.3597343770614363,1,0.4007074279939363,0.6486915146708961,-0.5374376039933445,95,Sundarbans,1,21.81635715497354,88.58965008306865,24,Sundarbans,"{""type"":""Point"",""coordinates"":[88.58965008306865,21.81635715497354]}"
0_1_409,0.09585,0.04865,0.04155,0.06495,0.0457,0.10265,0.20423333333333335,0.231325,0.24036666666666665,0.24895,0.4045638123211849,1,0.42983195360134824,0.6804940573292939,-0.5745400949833507,95,Sundarbans,1,22.17504088922054,88.98339557702417,74,Sundarbans,"{""type"":""Point"",""coordinates"":[88.98339557702417,22.17504088922054]}"
0_1_414,0.0884,0.03855,0.039,0.06205,0.0394,0.0925,0.21465,0.2465,0.2573,0.26805,0.4535048285048285,1,0.4885739080127277,0.7344118638355241,-0.61139815249726,95,Sundarbans,1,22.003559460773133,88.68056690932026,24,Sundarbans,"{""type"":""Point"",""coordinates"":[88.68056690932026,22.003559460773133]}"
0_1_424,0.06665,0.03635,0.07495,0.0925,0.07425,0.1,0.1442,0.1578,0.1616,0.1613,0.2089762912988349,1,0.4159912376779846,0.3703625185499258,-0.27194018103109013,95,Sundarbans,1,22.03214679807763,88.80960151241368,26,Sundarbans,"{""type"":""Point"",""coordinates"":[88.80960151241368,22.03214679807763]}"
0_1_432,0.10505,0.046316666666666666,0.033725,0.0586,0.0384,0.10055,0.2321,0.2705,0.2814,0.293,0.48257851830521603,1,0.4563332902057187,0.7598499061913696,-0.6552941176470589,95,Sundarbans,1,22.096423932495334,88.96808874477287,72,Sundarbans,"{""type"":""Point"",""coordinates"":[88.96808874477287,22.096423932495334]}"
0_1_436,0.0813,0.0408,0.0375,0.0619,0.0378,0.0927,0.2017,0.2299,0.2365,0.2466,0.42024449050378576,1,0.4883574575204532,0.7243893547211082,-0.5851206434316353,95,Sundarbans,1,22.114530672429773,88.81545128065547,21,Sundarbans,"{""type"":""Point"",""coordinates"":[88.81545128065547,22.114530672429773]}"
0_1_448,0.1113,0.0509,0.03165,0.0575,0.037,0.0974,0.2203,0.24895,0.2627,0.2738,0.45236806766480264,1,0.40481283422459885,0.7530864197530864,-0.6408494690818238,95,Sundarbans,1,21.93102474509538,89.28485777565766,38,Sundarbans,"{""type"":""Point"",""coordinates"":[89.28485777565766,21.93102474509538]}"
0_1_455,0.1308,0.0855,0.0517,0.0778,0.05795,0.11595,0.1892,0.21665,0.2346,0.2258,0.3696998869867314,1,0.28407224958949095,0.6038284054007862,-0.5019206145966709,95,Sundarbans,1,21.835092780850328,89.32618838865248,14,Sundarbans,"{""type"":""Point"",""coordinates"":[89.32618838865248,21.835092780850328]}"
0_1_456,0.0952,0.0433,0.0333,0.055,0.0332,0.0891,0.2041,0.2301,0.2476,0.2612,0.4477674282611419,1,0.44457409568261375,0.7635327635327634,-0.6364838070059484,95,Sundarbans,1,21.950664404830455,88.81735513759125,17,Sundarbans,"{""type"":""Point"",""coordinates"":[88.81735513759125,21.950664404830455]}"
0_1_472,0.1074,0.0482,0.0355,0.0596,0.037,0.0934,0.2238,0.2595,0.2696,0.281,0.47455828946831524,1,0.43023872679045094,0.7586431833007176,-0.637910085054678,95,Sundarbans,1,22.199478876208076,89.1851936883075,35,Sundarbans,"{""type"":""Point"",""coordinates"":[89.1851936883075,22.199478876208076]}"
0_1_479,0.1168,0.05455,0.02655,0.05645,0.03955,0.1021,0.2192,0.24895,0.26635,0.2759,0.43464096126942753,1,0.39031710818217397,0.7414187643020596,-0.6502478314745972,95,Sundarbans,1,22.028048310622744,89.36241866423185,14,Sundarbans,"{""type"":""Point"",""coordinates"":[89.36241866423185,22.028048310622744]}"
1_1_61,0.1387,0.056,0.03095,0.0493,0.0344,0.07585,0.1988,0.25175,0.2523,0.27255,0.44412286244216626,1,0.2905370843989771,0.7600279037321243,-0.673076923076923,95,Bhitarkanika,1,20.709124171618186,86.84646153128173,18,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.84646153128173,20.709124171618186]}"
1_1_149,0.12085,0.04815,0.0184,0.0521,0.02455,0.094,0.27385,0.3231,0.33765,0.35095,0.5811277330264671,1,0.4728462377317339,0.864439536167863,-0.7326491340602952,95,Bhitarkanika,1,20.401835781751,86.74613902570336,16,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.74613902570336,20.401835781751]}"
1_1_174,0.1212,0.0505,0.0275,0.0573,0.0354,0.0906,0.2582,0.3168,0.3211,0.3417,0.5381427764174044,1,0.4519556861858467,0.8014025245441796,-0.6971458773784355,95,Bhitarkanika,1,20.7487553598125,86.87821627819847,33,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.87821627819847,20.7487553598125]}"
1_1_214,0.14345,0.0593,0.0227,0.0565,0.0336,0.08975,0.2359,0.27225,0.29045,0.3099,0.48579588440006044,1,0.3387877391103941,0.7926245949699119,-0.6743046548494019,95,Bhitarkanika,1,20.382150978906523,86.75723296145719,12,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.75723296145719,20.382150978906523]}"
1_1_249,0.152,0.06455,0.0216,0.06045,0.03135,0.10805,0.2893,0.35075,0.3504,0.3735,0.5794587722484562,1,0.39490445859872614,0.8357563850687624,-0.705732018985031,95,Bhitarkanika,1,20.404244131029216,86.7229783749361,12,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.7229783749361,20.404244131029216]}"
1_1_263,0.1679,0.086,0.0293,0.0551,0.0389,0.0972,0.1973,0.2351,0.2457,0.2606,0.410529241275261,1,0.18810444874274665,0.7266338721011947,-0.6336436170212766,10,Bhitarkanika,1,20.618052965680576,86.86367700639958,23,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.86367700639958,20.618052965680576]}"
1_1_320,0.1217,0.0501,0.02505,0.0581,0.03405,0.089,0.23325,0.2762,0.29035,0.2953,0.4903292456620305,1,0.40929498847227275,0.7900739827373612,-0.6665231740565362,95,Bhitarkanika,1,20.385267155040655,86.74183932965701,14,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.74183932965701,20.385267155040655]}"
1_1_417,0.14555,0.06825,0.02895,0.06215,0.03825,0.10455,0.2361,0.27455,0.2827,0.30625,0.47188386772966817,1,0.32025685931115,0.7616451160616918,-0.6395534290271133,95,Bhitarkanika,1,20.657477604145086,86.95502299563158,16,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.95502299563158,20.657477604145086]}"
1_1_447,0.122,0.0486,0.03,0.06055,0.03485,0.0954,0.273,0.33365,0.34375,0.3648,0.5815792446435968,1,0.47611379495437467,0.8159006867406234,-0.7004699480583725,95,Bhitarkanika,1,20.735106216827948,86.90508835292549,32,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.90508835292549,20.735106216827948]}"
1_1_486,0.13435,0.054,0.02415,0.05615,0.02645,0.10335,0.2764,0.32695,0.33095,0.3537,0.5817619074912592,1,0.4225231033741672,0.8519865696698375,-0.709894084215965,95,Bhitarkanika,1,20.44838569473383,86.72834325148956,12,Bhitarkanika,"{""type"":""Point"",""coordinates"":[86.72834325148956,20.44838569473383]}"
2_1_6,0.1062,0.0416,0.0388,0.0699,0.0342,0.109,0.2635,0.313,0.3281,0.3407,0.5914432906705305,1,0.5109371402256504,0.8112061827215015,-0.6487437185929648,95,Godavari_Krishna,1,16.81907866952698,82.34465183109394,21,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.34465183109394,16.81907866952698]}"
2_1_15,0.1245,0.0455,0.0279,0.0613,0.0321,0.0888,0.2759,0.3355,0.3489,0.367,0.5944830174516794,1,0.47401774397972113,0.8314960629921259,-0.7011214041930764,95,Godavari_Krishna,1,16.879959114975666,82.26765990407824,13,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.26765990407824,16.879959114975666]}"
2_1_26,0.1154,0.05275,0.0351,0.0645,0.04,0.10545,0.244,0.2828,0.2927,0.3082,0.497656465398401,1,0.4344523401127175,0.7595431319507064,-0.6388577827547592,95,Godavari_Krishna,1,16.74652047159527,82.30391149580295,16,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.30391149580295,16.74652047159527]}"
2_1_123,0.0969,0.0382,0.0264,0.052,0.0287,0.082,0.243,0.3088,0.2999,0.3402,0.5321403343536614,1,0.5115927419354839,0.8253195374315276,-0.7044614947428247,95,Godavari_Krishna,1,16.661559616515923,82.25296654124539,15,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.25296654124539,16.661559616515923]}"
2_1_132,0.09985,0.0421,0.01455,0.05835,0.0445,0.1205,0.2126,0.24045,0.24,0.2577,0.3496378431547886,1,0.4123878181550684,0.687170474516696,-0.608848667672197,90,Godavari_Krishna,1,15.971617849030313,81.10778831718628,18,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[81.10778831718628,15.971617849030313]}"
2_1_137,0.1191,0.0499,0.0338,0.0607,0.0349,0.0911,0.253,0.3061,0.3109,0.3319,0.5446795074202716,1,0.44604651162790704,0.7981492192018509,-0.6733046286329387,95,Godavari_Krishna,1,16.85639425589116,82.30015699878085,17,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.30015699878085,16.85639425589116]}"
2_1_156,0.10835,0.0401,0.0,0.057,0.0228,0.11865,0.2638,0.2958,0.29905,0.3134,0.48098687188773204,1,0.46809032891507113,0.8583190927450677,-0.6798202499648925,60,Godavari_Krishna,1,15.99033883492465,81.10923223558201,18,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[81.10923223558201,15.99033883492465]}"
2_1_164,0.1101,0.0458,0.0422,0.06445,0.03875,0.1019,0.2287,0.2709,0.27645,0.29035,0.49834374606901755,1,0.43034536282499025,0.7541243654822335,-0.6218832502200058,95,Godavari_Krishna,1,16.835250143514973,82.32853394772106,18,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.32853394772106,16.835250143514973]}"
2_1_199,0.1209,0.0457,0.0167,0.0734,0.0314,0.1409,0.3133,0.3573,0.3538,0.378,0.5688274109883906,1,0.49062565831051186,0.8369678089304259,-0.6563670411985018,30,Godavari_Krishna,1,15.858149647319417,81.00359778129882,39,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[81.00359778129882,15.858149647319417]}"
2_1_200,0.1184,0.0422,0.0316,0.0744,0.031,0.1274,0.3083,0.3487,0.3569,0.3656,0.6238992265870281,1,0.5017883442036608,0.8401649909770558,-0.6549965221423603,95,Godavari_Krishna,1,15.853435848857242,80.99208499788753,21,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[80.99208499788753,15.853435848857242]}"
2_1_233,0.10435,0.0429,0.0435,0.07945,0.0453,0.12375,0.27025,0.3055,0.3339,0.3221,0.5639141818750244,1,0.5237877923559612,0.7610759493670886,-0.6155800169348009,95,Godavari_Krishna,1,16.32650005376342,81.27836518140454,22,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[81.27836518140454,16.32650005376342]}"
2_1_396,0.11745,0.04945,0.0449,0.0655,0.0422,0.09865,0.24645,0.29325,0.2913,0.31905,0.5156282343200166,1,0.4253211009174312,0.7469265367316341,-0.632847533632287,95,Godavari_Krishna,1,16.78490786776863,82.30360149019327,18,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.30360149019327,16.78490786776863]}"
2_1_458,0.105,0.0439,0.0073,0.0553,0.0252,0.1163,0.242,0.2635,0.2751,0.289,0.455506543691444,1,0.4475138121546962,0.8321678321678322,-0.6652542372881355,95,Godavari_Krishna,1,16.107548867150147,81.18007005232332,17,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[81.18007005232332,16.107548867150147]}"
2_1_472,0.1065,0.04555,0.0397,0.0654,0.0399,0.09605,0.22815,0.2652,0.2678,0.28575,0.47108189672991857,1,0.43093775046753946,0.7406564835879104,-0.6074429771908763,95,Godavari_Krishna,1,16.817047484562725,82.28516194505954,20,Godavari_Krishna,"{""type"":""Point"",""coordinates"":[82.28516194505954,16.817047484562725]}"
4_1_56,0.1105,0.0622,0.0342,0.05875,0.05215,0.0888,0.15545,0.176,0.1773,0.18795,0.2536070357461296,1,0.2321056289089646,0.5454347352364349,-0.5022241050624868,95,Gulf_Kachchh,1,22.937533834618844,70.13246257242967,38,Gulf_Kachchh,"{""type"":""Point"",""coordinates"":[70.13246257242967,22.937533834618844]}"
4_1_67,0.1261,0.0752,0.0667,0.0892,0.08926666666666666,0.1218,0.1655,0.1798,0.1856,0.188,0.19725077466999738,1,0.19088867500802054,0.35047295658501093,-0.35080058224163024,95,Gulf_Kachchh,1,22.552774778207528,69.962244478057,77,Gulf_Kachchh,"{""type"":""Point"",""coordinates"":[69.962244478057,22.552774778207528]}"
4_1_189,0.0126,0.0123,0.072,0.1061,0.0984,0.10395,0.0418,0.04385,0.03815,0.0248,-0.1383721464333287,1,0.503448275862069,-0.4412303185646283,0.4710571923743501,40,Gulf_Kachchh,1,22.982069338079917,70.47495506007105,42,Gulf_Kachchh,"{""type"":""Point"",""coordinates"":[70.47495506007105,22.982069338079917]}"
4_1_359,0.11655,0.06685,0.0386,0.0668,0.05745,0.10395,0.17925,0.20065,0.21105,0.21155,0.30325765054294174,1,0.28846153846153844,0.5720670391061453,-0.5191650170955552,20,Gulf_Kachchh,1,23.082537241429225,70.35431056901781,40,Gulf_Kachchh,"{""type"":""Point"",""coordinates"":[70.35431056901781,23.082537241429225]}"
4_1_468,0.11343333333333333,0.0593,0.0552,0.0766,0.0706,0.10825,0.170075,0.18816666666666668,0.19653333333333334,0.19895,0.26102697324784435,1,0.26809334337025487,0.4714250062390816,-0.4391017817915548,95,Gulf_Kachchh,1,22.5431232734784,70.13187270351989,79,Gulf_Kachchh,"{""type"":""Point"",""coordinates"":[70.13187270351989,22.5431232734784]}"
