"Type","Mean_SOC_Carbon_Secure","Low_SOC_Carbon_Secure","Hi_SOC_Carbon_Secure","Mean_SOC_Carbon_Restor","Low_SOC_Carbon_Restor","Hi_SOC_Carbon_Restor"
"Estuary_1019",2183.39173673878,2173.94392258864,2192.83955088893,158.792098447415,0,299.02352265606
"Estuary_1021",87800.2830467691,87521.1928739502,88079.373219588,3195.31873964762,0,6010.26689618663
"Estuary_10216",19314.6588582491,19063.6190004014,19565.6987160969,8941.43235822106,6008.7089996556,11586.9984227718
"Estuary_10250",4675.35164285454,4662.13339373566,4688.56989197343,558.250942430393,0,1049.67982656121
"Estuary_1027",7620.80472173172,7564.93593457078,7676.67350889265,46.093828218336,0.783543647230886,86.3637966315772
"Estuary_1031",18480.4535474322,18432.7146573062,18528.1924375582,0,0,0
"Estuary_10314",11941.0700385328,11927.3456213272,11954.7944557384,5699.94807998036,3858.08876731377,7316.08958354075
"Estuary_10332",0,0,0,0,0,0
"Estuary_10334",9210.17215194775,9174.70877883777,9245.63552505774,4396.38180702219,2967.70480262736,5658.13975376388
"Estuary_1036",2920.14728259788,2858.93691063567,2981.3576545601,0,0,0
"Estuary_1037",0,0,0,0,0,0
"Estuary_1040",937.528998649736,925.392905204143,949.66509209533,5.67056921039301,0.09584823167526,10.6838831672105
"Estuary_10419",47924.6497376982,47294.7991255802,48554.5003498162,5722.3462373371,0,10870.4105260782
"Estuary_10441",7950.80652675072,7907.66053921795,7993.9525142835,3969.10620986234,2740.99920149634,5057.91298638261
"Estuary_10447",0,0,0,0,0,0
"Estuary_1059",6108.29681090762,6054.96109071925,6161.63253109599,36.9455450164857,0.627146923370799,69.3193449242894
"Estuary_107",1151.10502906672,1147.58462144095,1154.62543669249,137.445376604982,0,258.498232095334
"Estuary_1072",16244.0194360744,16164.246888071,16323.7919840779,98.2506531530157,1.67422342647218,183.645253316554
"Estuary_1077",2555.20930145227,2549.20149624448,2561.21710666007,305.099618083853,0,573.406814923896
"Estuary_1080",13525.6965636358,13456.6480741251,13594.7450531464,1615.00854491173,0,3043.59963876413
"Estuary_1085",3987.58419517528,3970.17870216117,4004.98968818939,476.129456140332,0,896.63948243046
"Estuary_1087",42408.7438883516,42354.0189621533,42463.46881455,5234.51368944624,446.085740819159,9436.04454346227
"Estuary_1091",15038.3450882155,14929.4962936709,15147.1938827601,156.156576488475,0,294.91284524625
"Estuary_1092",2044.23330372137,2029.89567573747,2058.57093170527,244.087558653298,0,460.874089187748
"Estuary_1095",22408.6786154241,22300.8117163935,22516.5455144548,0,0,0
"Estuary_1102",1395.87529563191,1381.1153010859,1410.63529017792,0,0,0
"Estuary_1104",9987.44323494625,9959.75885012976,10015.1276197627,1652.39625987857,429.533730978145,2728.89965265265
"Estuary_1108",15714.3798554289,15583.6720205838,15845.087690274,1876.34386333479,0,3547.40769185238
"Estuary_1110",18161.2834777567,18105.1390668961,18217.4278886173,0,0,0
"Estuary_1129",14659.8623985318,14618.6054299083,14701.1193671553,0,0,0
"Estuary_1132",1832.54135123162,1825.50508035568,1839.57762210755,97.1328259078285,0,182.823336556656
"Estuary_1138",39025.3134836575,38957.9121070076,39092.7148603075,4316.04849162413,219.429128886308,7913.902941955
"Estuary_1143",25986.4717334884,25772.5018659657,26200.441601011,157.177097146753,2.66940530428555,294.759130691965
"Estuary_1144",774.97726308415,769.826717007713,780.127809160588,80.395239432193,0,151.742908290896
"Estuary_1152",8599.37263094786,8566.55820113179,8632.18706076393,1130.4759903964,94.5387278642616,2044.37572655292
"Estuary_1159",8107.40056981238,8068.2562418016,8146.54489782316,941.483172654708,322.900197144246,1488.52489827128
"Estuary_1167",30011.9714104334,29889.1356486187,30134.807172248,311.641120191861,0,586.718688154492
"Estuary_1169",36957.6065979529,36888.7404838229,37026.4727120829,223.535129437063,3.82077766559277,416.553700712517
