"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Estuary_1426",18791.985278438,5847.87789879711,5836.3353738065,5859.42042378771,169.50370721151,0,1868.22100468594
"Estuary_1432",4603.4352318595,622.844786870591,611.736981292344,633.952592448837,851.22120872314,550.56328316311,1289.0369379793
"Estuary_1440",35295.8736136066,10974.7917202599,10956.0012802964,10993.5821602233,327.299969553119,6.17254481257853,3516.99909131655
"Estuary_1441",571.55025384953,77.3307493458414,74.9687042553291,79.6927944363537,105.685357439317,67.4718338297962,162.042015353919
"Estuary_145",1030.96519377005,139.489590717088,122.085723337603,156.893458096573,190.63577398002,109.877151003843,319.016698129698
"Estuary_1462",3963.90939067963,1127.65602650118,1124.52456360894,1130.78748939341,141.627399488346,73.0931062130877,500.558210471314
"Estuary_147",114.5151452574,18.7003720050123,14.9169661536089,22.4837778564156,17.9685226578597,9.35254704968051,34.0229165568908
"Estuary_1478",30375.0258713254,8641.11098489477,8634.33412728094,8647.88784250861,1085.27604936234,561.224113610475,3828.10324964315
"Estuary_151",532.474746726468,86.9533529794499,85.5576262268165,88.3490797320832,83.5503856698324,53.6423905843407,133.691650344474
"Estuary_154",8753.69443001881,1429.48202957441,1424.67930472196,1434.28475442686,1373.53846386192,893.236606620214,2170.38928379027
"Estuary_1554",6632.05430044732,897.316946850523,883.437473243274,911.196420457772,1226.33316069571,795.093725918946,1852.7660549308
"Estuary_1559",5132.37486692151,694.410319494481,690.098485909891,698.72215307907,949.027436642457,621.088637318902,1420.73504459411
"Estuary_156",20034.14566879,3271.58452243913,3263.21513983589,3279.95390504237,3143.5492621641,2045.95041741522,4963.29392392845
"Estuary_1572",73528.5567811522,9948.41373248989,9932.08007017847,9964.74739480131,13596.1654344028,8938.87206316062,20261.653036096
